age,employ,address,income,debtinc,creddebt,othdebt,ed,default
29,11,7,32,6,0.92736,0.99264,1,0
28,1,3,26,12.4,0.377208,2.846792,4,0
34,16,3,75,10.4,3.9546,3.8454,1,0
51,31,14,249,7.8,4.27284,15.14916,2,0
40,13,11,102,18.9,6.226794,13.051206,2,1
24,0,5,16,7.3,0.024528,1.143472,2,0
26,4,3,27,10.5,2.47212,0.36288,1,1
39,19,15,60,27.1,9.5934,6.6666,1,1
27,5,1,75,6.3,2.206575,2.518425,3,0
41,21,2,76,20.5,6.94868,8.63132,1,0
30,4,0,33,4.2,0.500346,0.885654,1,0
41,15,14,120,2.9,2.65872,0.82128,1,0
34,10,1,33,10.3,2.501664,0.897336,1,1
36,0,13,25,19.7,2.7777,2.1473,1,0
24,1,2,42,5.7,0.8379,1.5561,2,0
23,0,4,21,8.7,0.454923,1.372077,2,0
41,8,21,43,0.7,0.085785,0.215215,2,0
46,4,17,73,5.4,2.223288,1.718712,3,0
33,2,14,35,22.9,2.123975,5.891025,2,1
35,5,5,32,13,0.17472,3.98528,1,0
40,2,1,36,3.8,0.277704,1.090296,2,0
32,3,13,47,1.9,0.42864,0.46436,2,0
35,16,10,57,10.5,1.143135,4.841865,1,0
30,8,4,56,6.4,0.333312,3.250688,2,0
28,5,2,37,8.3,1.123986,1.947014,2,0
31,11,6,34,6.8,0.298248,2.013752,1,0
32,7,10,32,4.3,0.43344,0.94256,2,0
33,9,10,28,4.3,0.376852,0.827148,4,0
23,7,2,31,6.6,0.33759,1.70841,1,0
36,18,9,67,11.2,5.245296,2.258704,1,0
34,10,18,123,17.3,3.021618,18.257382,4,0
31,15,2,60,4.8,0.80352,2.07648,1,0
41,5,5,25,10.2,0.3927,2.1573,2,0
33,12,12,68,10.8,1.365984,5.978016,1,0
37,0,18,18,12.9,1.583604,0.738396,1,1
29,1,4,17,2.5,0.13175,0.29325,1,0
39,16,12,53,3.7,0.694194,1.266806,2,0
28,1,8,24,17.1,1.337904,2.766096,1,1
37,20,2,56,1.9,0.54264,0.52136,1,0
32,5,0,28,14.8,2.594144,1.549856,2,1
32,14,0,44.44880174,2.4,0.273024,0.590976,1,0
27,7,4,44.44880174,9.1,0.641186,1.724814,1,0
38,15,18,63,13.4,5.090526,3.351474,3,0
31,2,1,26,6.8,0.28288,1.48512,2,1
39,19,8,46,9.1,2.515786,1.670214,1,0
28,5,9,22,2.8,0.140448,0.475552,1,0
45,23,5,50,4.2,0.5586,1.5414,1,0
24,2,0,28,17.3,1.787436,3.056564,2,1
25,8,4,27,14.4,1.018656,2.869344,1,0
27,0,5,16,1.1,0.130416,0.045584,1,0
38,4,6,31,9.3,1.331946,1.551054,3,1
24,3,1,24,19.1,2.172816,2.411184,2,0
34,4,3,28,9.5,0.2261,2.4339,2,0
31,1,6,29,11.1,1.065489,2.153511,4,0
47,4,9,33,7.1,1.19493,1.14807,2,1
29,11,5,36,6.1,0.709308,1.486692,1,0
28,4,2,28,14.2,0.43736,3.53864,1,1
29,1,7,29,21.2,2.330092,3.817908,2,1
40,14,21,43,15,2.79285,3.65715,1,1
39,2,12,46,16,4.00384,3.35616,2,1
50,18,27,102,14.1,5.781564,8.600436,3,0
47,15,1,30,24.5,2.21235,5.13765,1,0
41,12,11,44.44880174,26.5,4.99101,17.79899,3,1
39,8,0,21,4,0.27636,0.56364,1,0
28,3,7,19,4.1,0.260965,0.518035,1,0
44,21,14,113,13.2,3.192024,11.723976,2,0
33,14,2,37,2.6,0.199134,0.762866,1,0
43,19,11,79,7.5,0.7821,5.1429,1,0
42,7,23,41,4.6,0.941114,0.944886,2,0
39,17,20,60,13.7,2.44956,5.77044,1,0
35,0,16,22,15,1.9701,1.3299,2,1
27,5,4,42,19.9,2.707992,5.650008,3,1
46,22,17,144,11.1,3.324672,12.659328,2,0
36,7,17,40,9.9,1.69488,2.26512,1,0
34,9,16,56,18.7,4.76476,5.70724,2,0
26,10,6,24,2.7,0.31104,0.33696,1,0
36,10,0,28,11.2,0.81536,2.32064,1,1
56,11,20,59,15,4.6728,4.1772,1,0
41,7,6,56,14.5,0.37352,7.74648,3,1
32,11,2,53,3.3,0.089199,1.659801,1,0
24,2,5,18,6,0.52812,0.55188,1,0
31,7,10,23,4.9,0.2254,0.9016,1,0
32,8,2,45,3.7,0.98235,0.68265,2,0
54,9,2,28,14.8,1.558144,2.585856,1,1
35,17,4,42,3,0.09324,1.16676,1,0
31,2,2,22,16.4,1.739056,1.868944,1,1
34,6,1,44.44880174,1.2,0.04248,0.19752,1,0
43,10,9,69,6.4,0.410688,4.005312,1,0
33,8,7,27,5.8,0.776736,0.789264,1,0
46,16,18,52,12.9,3.032016,3.675984,1,1
27,6,1,34,4.4,0.237864,1.258136,2,0
40,21,21,46,6.2,0.966828,1.885172,1,0
24,3,0,19,4.3,0.358663,0.458337,2,0
41,14,8,52,7.3,0.926224,2.869776,1,0
48,3,11,27,21.3,1.403244,4.347756,1,0
21,5,1,25,9,0.36675,1.88325,1,0
28,7,2,34,7,0.35938,2.02062,2,0
45,2,5,39,4.9,0.45864,1.45236,3,0
28,4,7,19,4.1,0.286672,0.492328,1,0
40,18,14,157,6.6,3.326202,7.035798,3,0
40,22,1,100,14.6,5.402,9.198,1,0
22,0,1,18,7.7,0.47817,0.90783,3,0
41,16,22,135,4.4,1.2771,4.6629,3,0
30,7,2,33,25.4,1.165098,7.216902,1,1
39,20,9,44.44880174,30.6,3.833874,16.668126,1,0
31,9,7,59,14.6,3.109654,5.504346,3,1
26,10,2,32,4.7,0.126336,1.377664,1,0
32,2,11,15,9.1,0.118755,1.246245,2,1
43,4,2,29,4.6,0.05336,1.28064,1,0
40,18,6,100,2.5,1.485,1.015,3,0
38,8,16,38,0.6,0.029412,0.198588,2,0
41,6,1,19,6.3,0.124488,1.072512,2,0
45,17,0,62,15,2.4366,6.8634,1,0
36,0,17,30,9.7,0.32883,2.58117,2,0
44,12,3,44.44880174,9.7,0.357833,2.649167,1,0
29,9,0,25,13.9,1.0703,2.4047,1,0
32,5,5,43,15,1.806,4.644,2,1
40,15,7,44.44880174,5.5,0.856075,2.168925,1,0
35,1,4,20,7.9,0.8532,0.7268,3,0
41,21,22,145,12.2,3.23727,14.45273,2,0
35,13,15,35,4.5,0.43155,1.14345,1,0
27,0,7,18,12.8,0.582912,1.721088,1,0
23,5,2,17,7.9,0.302175,1.040825,1,0
39,6,9,61,5.7,0.563274,2.913726,1,0
41,14,3,44,1.7,0.353056,0.394944,4,0
36,1,17,30,11.5,0.3243,3.1257,4,0
51,19,25,159,2.8,1.06848,3.38352,2,0
25,9,2,20,3.5,0.105,0.595,1,0
22,0,2,20,4.7,0.21902,0.72098,3,0
42,3,10,24,10.6,0.666528,1.877472,1,0
29,1,8,31,8,0.15624,2.32376,1,0
29,1,7,25,10.4,0.5694,2.0306,2,0
43,11,17,37,1.3,0.179894,0.301106,1,0
42,18,23,66,9.6,1.641024,4.694976,2,0
48,17,22,66,3.2,1.46784,0.64416,1,0
43,8,11,45,3.3,0.67716,0.80784,1,0
